"id","subject","topic","subtopic","title","rule_text","current_buzzwords_json","corrected_buzzwords_json"
"153bb9b6-2b56-41ca-a0ff-ba68810bd2d4","Business Associations","Corporations","Financing the Organization","Authorized Shares and Issuance","The articles fix the number of shares the corporation is authorized to issue. The board may issue shares up to that number in exchange for consideration approved by the board, subject to statutory requirements.","[""authorized shares"",""issue shares"",""board-approved consideration""]","[""authorized shares"",""issue shares"",""board-approved consideration""]"
"38ad1178-949f-4a70-9e61-8d367f0c2b10","Business Associations","Corporations","Management and Control","Board Action by Written Consent","Directors may act without a meeting if all directors consent in writing or in an electronic record, unless the governing statute provides otherwise.","[""board action without meeting"",""unanimous written consent""]","[""board action without meeting"",""unanimous written consent""]"
"67fb474b-120d-4250-849b-5e9530d5203b","Business Associations","Corporations","Management and Control","Board Committees","The board may delegate many management functions to committees of directors, but certain fundamental decisions, such as declaring distributions or approving major structural changes, may remain reserved to the full board under statute.","[""board committee"",""delegate"",""reserved powers""]","[""board committee"",""delegate"",""reserved powers""]"
"d7d5b3a8-15db-4260-8435-6dd51946f51b","Business Associations","Corporations","Management and Control","Board Management Authority","The corporation's business and affairs are managed by or under the direction of the board of directors, except as otherwise provided by statute, the articles, or valid shareholder arrangements in special contexts.","[""board of directors"",""manages business and affairs""]","[""board of directors"",""manages business and affairs""]"
"70999357-9d1e-4ac8-b3e6-6675b12a61a7","Business Associations","Corporations","Management and Control","Board Meetings, Notice, and Quorum","A majority of the number of directors fixed by the articles or bylaws generally constitutes a quorum for board action, and directors typically must receive notice of special meetings unless waived. No notice is usually required for regular meetings if the time and place are fixed.","[""board quorum"",""notice of special meetings"",""regular meetings""]","[""board quorum"",""notice of special meetings"",""regular meetings""]"
"a8bdd84c-45be-4215-8e33-67587d16b930","Business Associations","Corporations","Fiduciary Duties","Business Judgment Rule","The business judgment rule creates a presumption that directors acted on an informed basis, in good faith, and with the honest belief that the action taken was in the corporation's best interests. Courts generally will not second-guess such decisions absent fraud, illegality, conflict of interest, or gross abuse.","[""business judgment rule"",""informed basis"",""good faith"",""best interests""]","[""business judgment rule"",""informed basis"",""good faith"",""best interests""]"
"0d3491ef-7f44-4e0e-a07b-2a74e9c45f69","Business Associations","Corporations","Formation","Bylaws","Bylaws are internal rules for managing the corporation and regulating its affairs. They are typically adopted by the incorporators or directors and may later be amended by shareholders or directors as allowed by statute and the articles.","[""bylaws"",""internal rules"",""manage corporation""]","[""bylaws"",""internal rules"",""manage corporation""]"
"507e577a-c4b5-459f-8fc3-5578039624b2","Business Associations","Corporations","Management and Control","Class Voting","Certain corporate actions that affect a class of shares differently, such as amendments altering class rights, may require separate class voting by that class in addition to any overall shareholder vote.","[""class voting"",""alter class rights"",""separate class vote""]","[""class voting"",""alter class rights"",""separate class vote""]"
"9abe418f-b0ce-41f3-b833-6e910946c84d","Business Associations","Corporations","Close Corporations and Special Control Devices","Close Corporation Agreements","Close corporation shareholders may adopt agreements restricting share transfer, allocating management powers among shareholders, resolving deadlocks, or creating buy-sell rights, and such agreements are often enforceable if consistent with statute.","[""close corporation"",""share transfer restrictions"",""management agreements"",""buy-sell""]","[""close corporation"",""share transfer restrictions"",""management agreements"",""buy-sell""]"
"f7817686-b759-46bc-a2ed-160344b15ba0","Business Associations","Corporations","Piercing the Veil","Common Veil-Piercing Factors","Common veil-piercing factors include undercapitalization, failure to observe corporate formalities, commingling of assets, treating corporate assets as personal assets, overlapping ownership and control, and using the corporation to promote fraud or injustice.","[""undercapitalization"",""corporate formalities"",""commingling"",""personal use"",""fraud or injustice""]","[""undercapitalization"",""corporate formalities"",""commingling"",""personal use"",""fraud or injustice""]"
"ead1b784-12c9-4a6e-8ebe-23049acf4fc3","Business Associations","Limited Partnerships","Special Rules Concerning Limited Partnerships","Control Limitation","Traditionally, a limited partner risked personal liability if the limited partner participated substantially in control of the business and a third party reasonably believed the limited partner was a general partner. Modern statutes usually abolish or greatly narrow this control-based liability rule.","[""control limitation"",""limited partner"",""general partner""]","[""control limitation"",""limited partner"",""general partner""]"
"1fa11e00-76f3-4983-9b27-a51c83e88743","Business Associations","Corporations","Fiduciary Duties","Controlling Shareholder Duties","A controlling shareholder may owe fiduciary duties to minority shareholders and the corporation when exercising control, particularly in freeze-outs, self-dealing transactions, or oppressive conduct in close corporations.","[""controlling shareholder"",""fiduciary duties"",""minority shareholders"",""freeze-out""]","[""controlling shareholder"",""fiduciary duties"",""minority shareholders"",""freeze-out""]"
"428bb239-1c13-44d7-9c5d-f685cc3b5310","Business Associations","Corporations","Pre-Organization Transactions","Corporate Adoption of Preincorporation Contracts","After formation, a corporation may adopt a preincorporation contract expressly or impliedly, making the corporation liable on the contract, though the promoter remains liable unless there is a novation.","[""adoption"",""expressly"",""impliedly"",""promoter remains liable""]","[""adoption"",""expressly"",""impliedly"",""promoter remains liable""]"
"791c0cc0-5f3c-4281-a465-1945592d2e81","Business Associations","Corporations","","Corporate Dissolution","A corporation may dissolve voluntarily, administratively, or judicially, followed by winding up and distribution of assets.","[""corporate dissolution"",""winding up"",""distribution of assets""]","[""corporate dissolution"",""winding up"",""distribution of assets""]"
"8b93891e-3630-4c68-932e-ca70a814cd8c","Business Associations","Business Associations Structural Changes","Organizational Structure","Corporate Dissolution","A corporation may generally dissolve voluntarily by board action followed by shareholder approval and filing articles of dissolution, after which the corporation continues only to wind up affairs, pay creditors, and distribute remaining assets.","[""corporate dissolution"",""board action"",""shareholder approval"",""winding up""]","[""corporate dissolution"",""board action"",""shareholder approval"",""winding up""]"
"4d755931-d3c1-44c9-8ee2-2afaae67b397","Business Associations","Corporations","Formation","Corporate Formation","A corporation is formed by filing articles of incorporation with the state. Upon filing or upon the effective date stated in the articles, the corporation comes into existence as a separate legal entity.","[""corporation formed"",""file articles of incorporation"",""separate legal entity""]","[""corporation formed"",""file articles of incorporation"",""separate legal entity""]"
"73ac6bb0-e7fb-4044-a3dc-4392a546001e","Business Associations","Corporations","Fiduciary Duties","Corporate Opportunity Doctrine","Directors and officers may not take for themselves a business opportunity that is within the corporation's line of business, that the corporation has an interest or expectancy in, or that the corporation is financially able to undertake, unless the opportunity is first offered to the corporation and properly rejected.","[""corporate opportunity"",""line of business"",""interest or expectancy"",""financially able""]","[""corporate opportunity"",""line of business"",""interest or expectancy"",""financially able""]"
"bfb32327-46f4-4b8a-9cf9-276ddc881c41","Business Associations","Corporations","","Corporation — Duty of Loyalty and Conflicts of Interest","Conflicted transactions are voidable unless approved by disinterested directors or shareholders after full disclosure or shown to be fair to the corporation.","[""conflict of interest"",""self-dealing"",""entire fairness""]","[""conflict of interest"",""self-dealing"",""entire fairness""]"
"8aa78e98-3fea-41f0-868d-2bacf0860c1e","Business Associations","Corporations","","Corporation — Fiduciary Duties of Directors and Officers","Directors and officers owe duties of care and loyalty to the corporation and its shareholders, subject to the business judgment rule.","[""duty of care"",""duty of loyalty"",""business judgment rule""]","[""duty of care"",""duty of loyalty"",""business judgment rule""]"
"3d6de6b0-2a41-412a-83a1-bf6b3da54fac","Business Associations","Corporations","","Corporation — Formation","A corporation is formed by filing articles of incorporation with the state, creating a separate legal entity distinct from its shareholders.","[""articles of incorporation"",""separate legal entity"",""state filing""]","[""articles of incorporation"",""separate legal entity"",""state filing""]"
"cfaa7d14-61f7-4374-9f6a-4e462f9d6e80","Business Associations","Corporations","","Corporation — Piercing the Corporate Veil","Courts may pierce the corporate veil when shareholders abuse the corporate form through undercapitalization, commingling, or fraud, causing injustice.","[""piercing the corporate veil"",""undercapitalization"",""commingling"",""fraud""]","[""piercing the corporate veil"",""undercapitalization"",""commingling"",""fraud""]"
"4de23513-9b62-4241-9674-d5bf28022884","Business Associations","Corporations","","Corporation — Promoter Liability","Promoters are personally liable on pre-incorporation contracts unless the corporation adopts the contract and the parties agree to a novation.","[""promoter"",""pre-incorporation contract"",""novation""]","[""promoter"",""pre-incorporation contract"",""novation""]"
"2381639f-d7b1-4701-96dd-cbd4154aa57b","Business Associations","Corporations","Formation","Corporation by Estoppel","Under corporation by estoppel, a person who treated an enterprise as a corporation in dealing with it may be estopped from later denying its corporate existence to impose personal liability on the organizers.","[""corporation by estoppel"",""treated as corporation"",""deny existence""]","[""corporation by estoppel"",""treated as corporation"",""deny existence""]"
"aebbc0b8-3390-446d-8842-b8c69282ee04","Business Associations","Agency","Agency Relationships","Creation of Agency","Agency is the fiduciary relationship that arises when a principal manifests assent that an agent shall act on the principal's behalf and subject to the principal's control, and the agent manifests assent or otherwise consents so to act.","[""agency"",""principal"",""agent"",""on behalf"",""control"",""fiduciary relationship"",""assent""]","[""agency"",""principal"",""agent"",""on behalf"",""control"",""fiduciary relationship"",""assent""]"
"f5c067f4-9db7-47b4-b7a3-996e9aa7ee1a","Business Associations","Corporations","Management and Control","Cumulative Voting","Cumulative voting allows shareholders in director elections to multiply the number of shares owned by the number of directors to be elected and cast the resulting votes for one or more candidates, if authorized by the corporation's governing law or charter.","[""cumulative voting"",""director elections"",""multiply shares by directors""]","[""cumulative voting"",""director elections"",""multiply shares by directors""]"
"d599920a-ff8b-4f1f-a99b-cffcf00c591a","Business Associations","Corporations","Formation","De Facto Corporation","A de facto corporation may exist when there is a valid incorporation statute, a good-faith colorable attempt to comply with it, and actual use of the corporate form, protecting participants from personal liability in some jurisdictions.","[""de facto corporation"",""good-faith attempt"",""use of corporate form""]","[""de facto corporation"",""good-faith attempt"",""use of corporate form""]"
"be024f03-f371-482f-b1b1-df56db42c99d","Business Associations","Corporations","Shareholder Litigation","Demand Requirement","Before filing a derivative action, a shareholder usually must make a written demand requesting that the corporation bring the action, and then wait the required statutory period unless irreparable injury would result or demand is excused under applicable law.","[""demand requirement"",""written demand"",""statutory period""]","[""demand requirement"",""written demand"",""statutory period""]"
"56b12d8b-1ea6-4223-bbec-661a07d3a3fd","Business Associations","Corporations","Shareholder Litigation","Derivative Action","A derivative action is a suit brought by a shareholder on behalf of the corporation to enforce a corporate cause of action when those in control of the corporation fail to do so.","[""derivative action"",""on behalf of corporation"",""corporate cause of action""]","[""derivative action"",""on behalf of corporation"",""corporate cause of action""]"
"283978e8-085a-470e-b952-6599c37273dc","Business Associations","Corporations","Shareholder Litigation","Derivative Action Requirements","A derivative plaintiff generally must have been a shareholder at the time of the challenged act or have acquired shares by operation of law, must fairly and adequately represent the corporation's interests, and must make a written demand on the corporation unless demand is excused where recognized by law.","[""shareholder at time of act"",""adequate representation"",""written demand""]","[""shareholder at time of act"",""adequate representation"",""written demand""]"
"1456db7b-6681-48d1-83c3-9955d532b3fa","Business Associations","Corporations","Shareholder Litigation","Direct Action","A shareholder may bring a direct action for injuries suffered individually, such as denial of voting rights, denial of inspection rights, or oppression, rather than injuries suffered by the corporation as a whole.","[""direct action"",""individual injury""]","[""direct action"",""individual injury""]"
"5f6cfaf5-82ce-41f2-9890-0aa66a158038","Business Associations","Corporations","Fiduciary Duties","Director Conflict-of-Interest Transaction","A director's conflicting-interest transaction is generally not automatically void if it is disclosed and approved by disinterested directors or shareholders, or if the transaction was fair to the corporation at the time it was entered.","[""conflicting-interest transaction"",""disclosed"",""disinterested directors"",""shareholders"",""fair""]","[""conflicting-interest transaction"",""disclosed"",""disinterested directors"",""shareholders"",""fair""]"
"0be76756-aaea-473d-be7d-446e289424f4","Business Associations","Corporations","Fiduciary Duties","Director Duty of Care","A director must act in good faith, with the care that a person in a like position would reasonably believe appropriate under similar circumstances, and in a manner the director reasonably believes to be in the best interests of the corporation.","[""director duty of care"",""good faith"",""best interests of corporation""]","[""director duty of care"",""good faith"",""best interests of corporation""]"
"65561c5b-0fed-4e77-bda8-b5c2ad449119","Business Associations","Corporations","Fiduciary Duties","Director Duty of Loyalty","A director owes the corporation a duty of loyalty and must not engage in self-dealing, usurp corporate opportunities, compete unfairly with the corporation, or otherwise place personal interests above the corporation's interests.","[""duty of loyalty"",""self-dealing"",""corporate opportunity""]","[""duty of loyalty"",""self-dealing"",""corporate opportunity""]"
"7a51e143-393f-4221-b911-7747da3583f3","Business Associations","Corporations","Financing the Organization","Director Liability for Unlawful Distribution","Directors who vote for or assent to an unlawful distribution may be personally liable to the corporation for the amount exceeding what could have been properly distributed if they failed to comply with the applicable standard of conduct.","[""unlawful distribution"",""director liability""]","[""unlawful distribution"",""director liability""]"
"da4dd950-ecd8-4be0-b170-2244f7c85c92","Business Associations","Corporations","Management and Control","Director's Objection","A director who is present at a meeting when corporate action is taken is generally deemed to have assented unless the director objects at the beginning of the meeting or promptly upon arrival to holding it or transacting business, or the director votes against or abstains and the abstention or dissent is recorded.","[""director objection"",""deemed to have assented"",""vote against"",""abstain""]","[""director objection"",""deemed to have assented"",""vote against"",""abstain""]"
"06713434-61eb-4a35-af3b-5bd6efce5802","Business Associations","Limited Partnerships","Special Rules Concerning Limited Partnerships","Disclosure Requirements","A limited partnership must generally comply with statutory naming and filing requirements so that third parties can determine the entity's existence and identify persons with management authority.","[""disclosure requirements"",""naming"",""filing""]","[""disclosure requirements"",""naming"",""filing""]"
"69330e64-63e5-4b18-879b-174a676a73a1","Business Associations","Partnerships","Dissolution and Dissociation","Dissociation","Dissociation is the change in the relationship among the partners caused by a partner's ceasing to be associated in carrying on the business. It may be rightful or wrongful and does not always cause dissolution.","[""dissociation"",""ceasing to be associated"",""rightful or wrongful""]","[""dissociation"",""ceasing to be associated"",""rightful or wrongful""]"
"7d1d8edd-7049-4c9d-8f84-f2bc7e27117f","Business Associations","Partnerships","Dissolution and Dissociation","Dissolution and Winding Up","Dissolution is the event triggering the winding up of partnership business. After dissolution, the partnership continues only for the purpose of winding up, including completing unfinished business, collecting assets, paying creditors, and distributing the surplus.","[""dissolution"",""winding up"",""pay creditors"",""distribute surplus""]","[""dissolution"",""winding up"",""pay creditors"",""distribute surplus""]"
"5c4fda77-a1ae-476d-9242-d430114f69e9","Business Associations","Shareholder Rights","","Distributions and Dividends","Corporations may make distributions only if solvent, meaning they can pay debts as they come due and assets exceed liabilities.","[""distributions"",""dividends"",""insolvency test""]","[""distributions"",""dividends"",""insolvency test""]"
"1d64165e-5adb-4c14-90ae-61805a9e2831","Business Associations","Corporations","Financing the Organization","Distributions to Shareholders","A corporation may make distributions to shareholders unless, after giving effect to the distribution, the corporation would be unable to pay its debts as they become due in the usual course of business or its total assets would be less than the sum of its total liabilities and any preferential amounts due to superior shares on dissolution.","[""distributions"",""unable to pay debts as they become due"",""balance sheet test""]","[""distributions"",""unable to pay debts as they become due"",""balance sheet test""]"
"2f1799df-57f7-49d1-99a2-8f437df4abbb","Business Associations","Limited Partnerships","Special Rules Concerning Limited Partnerships","Economic Rights of Limited Partners","Limited partners generally have the right to share in profits, losses, and distributions as provided by the partnership agreement, and they may transfer economic interests subject to agreement and statute.","[""economic rights"",""profits"",""losses"",""distributions""]","[""economic rights"",""profits"",""losses"",""distributions""]"
"91f4bdf4-f68a-40e5-8a99-bc680d32416d","Business Associations","Agency","Vicarious Liability of Principal","Employer Liability for Intentional Torts","An employer may be vicariously liable for an employee's intentional tort if the act was within the scope of employment, such as when force is job-related, the act was motivated by a purpose to serve the employer, or the conduct was foreseeable in the employment context.","[""intentional torts"",""scope of employment"",""foreseeable"",""serve employer""]","[""intentional torts"",""scope of employment"",""foreseeable"",""serve employer""]"
"fc48d847-024b-44bb-abcb-87021bc34ab7","Business Associations","Partnerships","Dissolution and Dissociation","Events Causing Dissolution","Dissolution may occur by the partners' will, expiration of a term or completion of an undertaking, an event agreed upon in the partnership agreement, judicial decree, or in some cases certain partner dissociations in an at-will partnership.","[""dissolution events"",""at-will partnership"",""judicial decree"",""term""]","[""dissolution events"",""at-will partnership"",""judicial decree"",""term""]"
"3a3b807f-3d5b-4c85-a350-5d2f60494298","Business Associations","Agency","Vicarious Liability of Principal","Exceptions for Independent Contractors","A principal may be liable for an independent contractor's torts when the principal is negligent in selection, when the work is inherently dangerous, when a nondelegable duty is involved, or when the principal retains substantial control over the work.","[""independent contractor exceptions"",""inherently dangerous"",""nondelegable duty"",""retained control""]","[""independent contractor exceptions"",""inherently dangerous"",""nondelegable duty"",""retained control""]"
"a1332f72-3f10-4647-8c9c-601829c1c3dc","Business Associations","Agency","Power of Agent to Bind Principal","Express Actual Authority","An agent has express actual authority when the principal expressly communicates to the agent authority to act on the principal's behalf.","[""express actual authority"",""principal communicates"",""authority""]","[""express actual authority"",""principal communicates"",""authority""]"
"5d355c6f-f4ab-4886-aa0e-e4ac6e3ec22b","Business Associations","Agency","Vicarious Liability of Principal","Frolic and Detour","A detour is a minor deviation from assigned work that remains within the scope of employment, while a frolic is a substantial departure for personal purposes that takes the employee outside the scope of employment until the employee returns to the employer's business.","[""detour"",""frolic"",""scope of employment""]","[""detour"",""frolic"",""scope of employment""]"
"4c1983d8-af46-4d30-95fe-636b7fcd7448","Business Associations","Limited Partnerships","Power and Liability","General Partner Liability in LP","A general partner in a limited partnership generally has management rights and is personally liable for the obligations of the limited partnership, much like a partner in a general partnership, unless the general partner is itself an entity providing liability protection.","[""general partner"",""personally liable"",""management rights""]","[""general partner"",""personally liable"",""management rights""]"
"7a32ee4a-aa0c-4cab-a2c3-9f7f5498699c","Business Associations","Partnerships","Creation of Partnerships","General Partnership Formation","A general partnership is formed when two or more persons associate to carry on as co-owners a business for profit, whether or not they intend to form a partnership.","[""general partnership"",""two or more persons"",""co-owners"",""business for profit""]","[""general partnership"",""two or more persons"",""co-owners"",""business for profit""]"
"bcc7d10e-c451-492f-9fbd-d9fd747411ac","Business Associations","Agency","Power of Agent to Bind Principal","Implied Actual Authority","An agent has implied actual authority to do acts reasonably necessary to accomplish an expressly authorized task or acts customarily associated with the agent's position.","[""implied actual authority"",""reasonably necessary"",""customarily associated""]","[""implied actual authority"",""reasonably necessary"",""customarily associated""]"
"ff43ecc0-c38a-4ddb-9f62-9d26e63ccf2a","Business Associations","Agency","Power of Agent to Bind Principal","Implied Warranty of Authority","An agent who purports to act for a principal impliedly warrants to the third party that the agent has authority. If the agent lacks authority and the principal is not bound, the agent may be liable for breach of that implied warranty of authority.","[""implied warranty of authority"",""lacks authority"",""agent liable""]","[""implied warranty of authority"",""lacks authority"",""agent liable""]"
"7b9e5a39-06eb-4362-8047-52286b391cbc","Business Associations","Partnerships","Rights of Partners Among Themselves","Indemnification and Reimbursement","A partnership must indemnify a partner for liabilities incurred in the ordinary course of the partnership's business or for preservation of its business or property, and reimburse a partner for payments made and liabilities incurred in the ordinary course or for preservation of the business or property.","[""indemnify"",""reimburse"",""ordinary course""]","[""indemnify"",""reimburse"",""ordinary course""]"
"25e253e1-92b4-4179-842d-3fea6f05c39a","Business Associations","Agency","Vicarious Liability of Principal","Independent Contractor Rule","A principal is generally not vicariously liable for torts committed by an independent contractor because the principal lacks the right to control the manner and means of the contractor's work.","[""independent contractor"",""not vicariously liable"",""right to control""]","[""independent contractor"",""not vicariously liable"",""right to control""]"
"259d5e2c-bc22-4675-989e-fdce2a36ccde","Business Associations","Agency","Power of Agent to Bind Principal","Inherent Agency Power","Inherent agency power is an older doctrine under which a principal may be bound by certain acts of an agent that are usual or incidental to the agent's position, even absent actual authority, particularly to protect third parties dealing with an agent of an undisclosed principal.","[""inherent agency power"",""usual"",""incidental"",""undisclosed principal""]","[""inherent agency power"",""usual"",""incidental"",""undisclosed principal""]"
"d87a2db5-accf-4379-97ad-2755ce0e83a4","Business Associations","Corporations","Management and Control","Inspection Rights","Shareholders generally have the right to inspect certain corporate records, such as articles, bylaws, minutes, and accounting records, if they comply with statutory procedures and, for some records, show a proper purpose.","[""inspection rights"",""proper purpose"",""corporate records""]","[""inspection rights"",""proper purpose"",""corporate records""]"
"9db9b7bb-670e-4ee4-9cc3-2209e3258e60","Business Associations","Business Associations Structural Changes","Organizational Structure","Judicial Dissolution","A court may order dissolution in cases such as deadlock, waste, fraud, illegality, or oppression of minority owners, depending on the entity type and statute.","[""judicial dissolution"",""deadlock"",""waste"",""fraud"",""oppression""]","[""judicial dissolution"",""deadlock"",""waste"",""fraud"",""oppression""]"
"85f5a72b-7b54-499e-8353-f1ab24f2789d","Business Associations","Partnerships","Dissolution and Dissociation","Liability After Dissolution","After dissolution, a partnership may be bound by acts appropriate for winding up or by acts that would have bound the partnership before dissolution if the third party lacked notice of the dissolution, subject to statutory filing and notice provisions.","[""after dissolution"",""winding up"",""third party lacked notice""]","[""after dissolution"",""winding up"",""third party lacked notice""]"
"312286ac-41c0-4ba7-9121-d61bdd9819c1","Business Associations","LLCs","","Limited Liability Companies (LLCs)","LLCs combine limited liability of corporations with pass-through taxation and flexible management governed primarily by an operating agreement.","[""LLC"",""limited liability"",""operating agreement"",""pass-through taxation""]","[""LLC"",""limited liability"",""operating agreement"",""pass-through taxation""]"
"2285b341-48f4-41f3-92db-e3220fb8bd8e","Business Associations","Partnerships","Creation of Partnerships","Limited Liability Partnership","A limited liability partnership is created by filing the required statement with the state, and its principal effect is that partners are generally not personally liable for obligations of the partnership solely by reason of being partners.","[""limited liability partnership"",""filed statement"",""not personally liable""]","[""limited liability partnership"",""filed statement"",""not personally liable""]"
"0fe83e25-9d5d-47d6-95ea-17e5fbadfd87","Business Associations","Limited Partnerships","Power and Liability","Limited Partner Liability","A limited partner is generally not personally liable for the obligations of the limited partnership solely by reason of being a limited partner, even if the limited partner participates in management under modern statutes.","[""limited partner"",""not personally liable"",""participates in management""]","[""limited partner"",""not personally liable"",""participates in management""]"
"45ae0c2c-bf9b-4006-94ca-c31d0b667599","Business Associations","Limited Partnerships","Creation and Structure","Limited Partnership Formation","A limited partnership is formed by filing a certificate of limited partnership or similar document with the appropriate state office, naming at least one general partner and one or more limited partners.","[""limited partnership"",""file certificate"",""general partner"",""limited partner""]","[""limited partnership"",""file certificate"",""general partner"",""limited partner""]"
"76dad6ee-21bb-406d-9cba-7553db24faf0","Business Associations","Partnerships","","Limited Partnerships (LP and LLP)","In a limited partnership, general partners manage and are personally liable, while limited partners have limited liability if they do not participate in control; LLPs limit liability for partnership obligations.","[""limited partnership"",""general partner"",""limited partner"",""LLP""]","[""limited partnership"",""general partner"",""limited partner"",""LLP""]"
"65320faf-de54-41e3-8b03-7856a7f946d5","Business Associations","LLCs","","LLC — Fiduciary Duties and Management","LLC managers and members owe fiduciary duties as defined by statute and the operating agreement, which may modify but not eliminate the duty of loyalty in many states.","[""LLC fiduciary duties"",""operating agreement"",""duty of loyalty""]","[""LLC fiduciary duties"",""operating agreement"",""duty of loyalty""]"
"f9c8d412-4f80-4098-a575-613f3bd5b0d6","Business Associations","Limited Liability Companies","Structural Changes","LLC Dissociation and Dissolution","A member may dissociate under the statute or operating agreement, and dissolution may occur upon events specified in the operating agreement, member consent, expiration of duration, judicial decree, or other statutory grounds, followed by winding up of LLC affairs.","[""LLC dissociation"",""dissolution"",""winding up""]","[""LLC dissociation"",""dissolution"",""winding up""]"
